state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
ID,Bear Lake,16007,county,6/13/2020,Outdoor and Recreation,start,"Policy_Details: Pools: Limit the number of people in the facility at a time to ensure physical distancing. Limit use of indoor facilities. Direct the flow of patrons and employees through the facility to reduce person to person contact. Strictly monitor the use of the kiddie pool or other congregate areas.Thoroughly disinfect all surfaces and all equipment after each user. Employee face masks. Do not allow symptomatic persons entry. Use hand sanitizer or wash hands at the entrance to the facility upon arrival and departure. Provide soap, water, and alcohol-based hand rubs in multiple locations and routinely refill.

Gyms: Limit the number of people in the facility at a time to ensure physical distancing. Move activities outside if possible, and make sure there is optimal ventilation for inside activities. Direct the flow of patrons and staff through the facility to reduce person-to-person contact. Space exercise equipment at least six feet apart. Monitor employee health. Make hand sanitizer available at the entrance, in locker rooms, and throughout the facility. Shared equipment disinfected after each use.    Source information: https://rebound.idaho.gov/wp-content/uploads/2020/05/stage3-protocols-outdoor-pools-splashparks-waterparks.pdf",sip_submission_form: https://rebound.idaho.gov/wp-content/uploads/2020/05/stage3-protocols-outdoor-pools-splashparks-waterparks.pdf,4
TX,Gray,48179,county,7/3/2020,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
NC,Clay County,37043,county,3/24/2020,Shelter in Place,start,Clay County Policy Start,wikidata,
NC,,,state,3/25/2020,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,,,state,7/1/2020,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
ND,Grand Forks,38035,county,9/3/2020,Childcare (K-12),start,"Policy_Details: - Enhanced cleaning and distancing protocols. 
- No symptomatic employees or children. 
- Congregate areas are closed. 
- Stagger arrival and drop off times. 
- Protocols for classroom/learning space occupancy that allow for separation among students and staff throughout the day to the maximum extent feasible
- Masks annd social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
TX,Jeff Davis County,48243,county,3/31/2020,Shelter in Place,start,Jeff Davis County Policy Start,wikidata,
DC,,,state,3/11/2020,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
GA,,,state,4/27/2020,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Lackawanna County,42069,county,3/27/2020,Shelter in Place,start,Lackawanna County Policy Start,wikidata,
TX,Hays County,48209,county,3/26/2020,Shelter in Place,start,Hays County Policy Start,wikidata,
ND,Benson,38005,county,9/3/2020,Outdoor and Recreation,start,"Policy_Details: - Fitness centers, gyms and indoor/outdoor sporting events may consider opening.
- Pre-screen and monitor employees for symptoms.
- Gatherings in facilities can be up to 50% certificate of occupancy for that room but no more than 250 people.
- Masks and social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
WA,Yakima County,53077,county,3/22/2020,Shelter in Place,start,Yakima County Policy Start,wikidata,
KS,,,state,3/30/2020,Shelter in Place,start,State Policy Start,wikidata,
NJ,,,state,3/18/2020,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
IL,,,state,5/1/2020,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MI,Ontonagon,26131,county,7/31/2020,Entertainment,start,"Policy_Details: Region 8 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
FL,Hillsborough County,12057,county,3/27/2020,Shelter in Place,start,Hillsborough County Policy Start,wikidata,
UT,,,state,3/19/2020,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
AR,,,state,3/13/2020,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
IL,Cook,17031,county,3/21/2020,Childcare (K-12),start,"Policy_Details: public & private pre-K-12 schools, colleges, universities open to facilitate distance learning, critical research, essential functions

 Phase Level: 1, Phase Details Source information: https://www.cookcountypublichealth.org/communicable-diseases/covid-19/",sip_submission_form: https://www.cookcountypublichealth.org/communicable-diseases/covid-19/,5
MS,Quitman,28119,county,7/13/2020,Outdoor and Recreation,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
TX,Armstrong County,48011,county,4/7/2020,Shelter in Place,start,Armstrong County Policy Start,wikidata,
TX,Clay,48077,county,7/3/2020,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
NY,Queens,36081,county,6/8/2020,Construction,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,
GA,Fulton,13121,county,4/1/2020,Food and Drink,start,Policy_Details: Source provides information on both the Fulton County stay at home order that started on April 1 and the Georgia stay at home order. Both are now expired. Fulton county is aligned with Georgia for reopening.   Source information: https://www.fultoncountyga.gov/covid-19,sip_submission_form: https://www.fultoncountyga.gov/covid-19,
PA,Franklin County,42055,county,3/31/2020,Shelter in Place,start,Franklin County Policy Start,wikidata,
NH,,,state,3/13/2020,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Quitman,28119,county,7/13/2020,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
OH,Hardin,39065,county,7/23/2020,Public Health Advisory System,start,"Policy_Details: counties upgraded to Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,
FL,Osceola County,12097,county,3/26/2020,Shelter in Place,start,Osceola County Policy Start,wikidata,
PA,,,state,3/19/2020,Non-Essential Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
WV,,,state,3/24/2020,Shelter in Place,start,State Policy Start,manual,
MS,Wayne,28153,county,7/13/2020,Manufacturing,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
TX,Deaf Smith County,48117,county,3/31/2020,Shelter in Place,start,Deaf Smith County Policy Start,wikidata,
NE,Holt,31089,county,4/1/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
TN,Shelby County,47157,county,3/24/2020,Shelter in Place,start,Shelby County Policy Start,wikidata,
CO,Denver,8031,county,6/17/2020,Non-Essential Businesses,start,"Policy_Details: The Cherry Creek mall in Denver may open the indoor mall and stores within mall may operate at 50% occupancy Phase Level: 2, Phase Details Source information: https://www.denvergov.org/content/denvergov/en/covid-19/coronavirus-news/june-2020/city-and-county-of-denver-variance-requests-approved-by-cdphe.html",sip_submission_form: https://www.denvergov.org/content/denvergov/en/covid-19/coronavirus-news/june-2020/city-and-county-of-denver-variance-requests-approved-by-cdphe.html,
MD,,,state,4/5/2020,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
TX,Crosby,48107,county,7/3/2020,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
VT,,,state,3/20/2020,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
MS,Sunflower,28133,county,7/13/2020,Houses of Worship,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
CO,,,state,3/26/2020,Non-Essential Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Berks County,42011,county,3/27/2020,Shelter in Place,start,Berks County Policy Start,wikidata,
NJ,,,state,3/19/2020,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
CO,Adams County,8001,county,3/26/2020,Shelter in Place,start,Adams County Policy Start,wikidata,
MS,Sunflower,28133,county,7/20/2020,Outdoor and Recreation,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
KY,,,state,5/11/2020,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MO,Jackson,29095,county,5/31/2020,Outdoor and Recreation,stop,"Policy_Details: Open 25/10% capacity Phase Level: 1, Phase Details Source information: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020",sip_submission_form: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020,
OK,,,state,5/1/2020,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
ME,,,state,6/17/2020,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NE,Stanton,31167,county,5/6/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
MO,Webster County,29225,county,4/24/2020,Shelter in Place,stop,Webster County Policy End,wikidata,
NV,,,state,5/29/2020,Gyms,stop,"Other measures and details for this policy include: keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
TX,Coryell County,48099,county,5/4/2020,Shelter in Place,stop,Coryell County Policy End,wikidata,
NE,Banner,31007,county,5/11/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
NE,Kimball,31105,county,5/11/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
TX,Cass County,48067,county,4/30/2020,Shelter in Place,stop,Cass County Policy End,wikidata,
PA,Beaver County,42007,county,4/30/2020,Shelter in Place,stop,Beaver County Policy End,wikidata,
FL,Palm Beach,12099,county,7/5/2020,Non-Essential Businesses,stop,"Policy_Details: Emergency Order 13 by County Administrator: Following the footsteps of its South Florida neighbors, Palm Beach County beaches will be closed starting Friday through Sunday, ahead of the Fourth of July holiday weekend.
Restaurants and shops inside beach parks will be allowed to operate but must continue to abide by the mask mandate and physical distancing guidelines. 
12:01 a.m. on Friday, July 3, to 11:59 p.m. on Sunday, July 5   Source information: http://discover.pbcgov.org/PDF/COVID19/PBC-EO-13.pdf, https://www.palmbeachpost.com/news/20200629/coronavirus-florida-palm-beach-county-beaches-to-close-starting-friday, https://www.usatoday.com/story/travel/news/2020/06/29/florida-closes-beaches-july-4th-weekend-covid-19-rates-surge/3277800001/","sip_submission_form: http://discover.pbcgov.org/PDF/COVID19/PBC-EO-13.pdf, https://www.palmbeachpost.com/news/20200629/coronavirus-florida-palm-beach-county-beaches-to-close-starting-friday, https://www.usatoday.com/story/travel/news/2020/06/29/florida-closes-beaches-july-4th-weekend-covid-19-rates-surge/3277800001/",
UT,,,state,5/1/2020,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
TX,Jefferson County,48245,county,4/10/2020,Shelter in Place,stop,Jefferson County Policy End,wikidata,
GA,Cobb County,13067,county,4/15/2020,Shelter in Place,stop,Cobb County Policy End,wikidata,
FL,Sumter County,12119,county,4/30/2020,Shelter in Place,stop,Sumter County Policy End,wikidata,
MN,,,state,6/1/2020,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
LA,,,state,5/1/2020,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MS,Madison,28089,county,7/20/2020,Day Care,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
NE,Custer,31041,county,5/11/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
MS,Claiborne,28021,county,7/20/2020,Manufacturing,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
MS,Washington,28151,county,7/20/2020,Day Care,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
OK,,,state,4/24/2020,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Refugio County,48391,county,4/30/2020,Shelter in Place,stop,Refugio County Policy End,wikidata,
CA,Placer County,6061,county,5/1/2020,Shelter in Place,stop,Placer County Policy End,wikidata,
OR,,,state,5/15/2020,Shelter in Place,stop,County by county entry into Phase I as soon as 5/15 https://govsite-assets.s3.amazonaws.com/2pRlAJbhRBuSTm0Iqy6p_Reopening-Oregon-Details-on-Restarting-Public-Life-and-Business.pdf,manual,
MO,Jackson County,29095,county,4/23/2020,Shelter in Place,stop,Jackson County Policy End,wikidata,
AZ,,,state,5/15/2020,Shelter in Place,stop,"Gov. Doug Ducey announced that hospitals and outpatient centers could resume elective surgeries on May 1, the same day a statewide stay-at-home is set to expire.",manual,
MS,Jefferson,28063,county,7/20/2020,Non-Essential Businesses,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Retail Businesses should also in addition provide employees with face coverings (when they have contact with public, and these to be cleaned/replaced daily), customers must wear face coverings, hand sanitizer must be provided, 6 ft separation must be kept whenever possible, and sanitation of carts/baskets and high touch areas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
MS,Rankin,28121,county,7/20/2020,Houses of Worship,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
ME,,,state,5/31/2020,Shelter in Place,stop,State Policy End,manual,
NE,Morrill,31123,county,5/11/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
MS,Wayne,28153,county,7/20/2020,Houses of Worship,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
DC,,,state,6/22/2020,Gyms,stop,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
NE,Lancaster,31109,county,10/31/2020,Mask Requirement,stop,"Policy_Details: All individuals age >=5 must wear a mask while indoors in premises open to the public. Exceptions: 
Maintain at >6ft of separation at all times from anyone outside household; 
Engaged in federal, state, or county govt services at such a service location; 
Seated at a bar/restaurant to eat/drink, or while immediately consuming food/beverages; Engaged in exercise; 
Engaged in an occupation preventing mask-wearing; 
Obtaining a service/good that requires temporary removal of mask; or, 
Has a medical condition, mental health condition, or disability that prevents mask-wearing.    Source information: https://lincoln.ne.gov/city/covid19/pdf/directed-health-measures-2020-09.pdf",sip_submission_form: https://lincoln.ne.gov/city/covid19/pdf/directed-health-measures-2020-09.pdf,4
KY,,,state,5/22/2020,Food and Drink,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
CA,Sutter County,6101,county,5/3/2020,Shelter in Place,stop,Sutter County Policy End,wikidata,
PA,Monroe County,42089,county,4/30/2020,Shelter in Place,stop,Monroe County Policy End,wikidata,
CO,Broomfield County,8014,county,3/26/2020,Shelter in Place,stop,Broomfield County Policy End,wikidata,
TX,Kaufman County,48257,county,4/8/2020,Shelter in Place,stop,Kaufman County Policy End,wikidata,
NE,McPherson,31119,county,5/11/2020,Shelter in Place,stop,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
MS,Wayne,28153,county,7/20/2020,Entertainment,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
TX,Hays County,48209,county,4/10/2020,Shelter in Place,stop,Hays County Policy End,wikidata,
NC,Gaston County,37071,county,4/16/2020,Shelter in Place,stop,Gaston County Policy End,wikidata,
TX,Val Verde County,48465,county,5/5/2020,Shelter in Place,stop,Val Verde County Policy End,wikidata,
FL,,,state,5/18/2020,Food and Drink,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Washington,28151,county,7/20/2020,Childcare (K-12),stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
MS,Wayne,28153,county,7/20/2020,Day Care,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
NC,Mecklenburg County,37119,county,4/29/2020,Shelter in Place,stop,Mecklenburg County Policy End,wikidata,
TX,Willacy County,48489,county,5/4/2020,Shelter in Place,stop,Willacy County Policy End,wikidata,
MO,Lincoln County,29113,county,4/6/2020,Shelter in Place,stop,Lincoln County Policy End,wikidata,
KS,,,state,5/4/2020,Shelter in Place,stop,State Policy End,manual,
AR,,,state,5/4/2020,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
ID,,,state,5/1/2020,Shelter in Place,stop,State Policy End,manual,
NE,,,state,5/11/2020,Shelter in Place,stop,State Policy End,manual,
MS,Claiborne,28021,county,7/20/2020,Day Care,stop,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
